Location,Latitude,Longitude,Average_Rainfall
Adelaide,-34.9281805,138.5999312,1.5663539307667425
Albany,-35.0247822,117.883608,2.2638594164456234
Albury,-36.08078,146.916473,1.914114911989369
AliceSprings,-23.6983884,133.8812885,0.8828496042216378
BadgerysCreek,-33.8816671,150.7441627,2.193101092896173
Ballarat,-37.5623013,143.8605645,1.740026420079262
Bendigo,-36.7590183,144.2826718,1.6193803559657245
Brisbane,-27.4689682,153.0234991,3.1448908573236363
Cairns,-16.9206657,145.7721854,5.742034805890227
Canberra,-35.2975906,149.1012676,1.7417203042715035
Cobar,-31.4983333,145.8344444,1.1273092369477924
CoffsHarbour,-30.2985996,153.1094116,5.061496782932607
Dartmoor,-37.895212,141.2679429,2.1465669612508536
Darwin,-12.46044,130.8410469,5.092452239273421
GoldCoast,-28.0023731,153.4145987,3.769395973154367
Hobart,-42.8825088,147.3281233,1.6018193224592208
Katherine,-14.4646157,132.2635993,3.201089743589745
Launceston,-41.4340813,147.1373496,2.0119881109643343
Melbourne,-37.8142454,144.9631732,1.8700616016427123
MelbourneAirport,-37.6667554,144.8288501,1.4519774011299449
Mildura,-34.195274,142.1503146,0.9450615231127418
Moree,-29.4617202,149.8407153,1.6302032235459012
MountGambier,-37.8301386,140.7842627,2.0875618607720225
MountGinini,-35.5297437,148.7725396,3.2922600619195106
Newcastle,-32.92793274,151.7742157,3.183891708967853
Nhil,-35.4713087,141.3062355,0.9348629700446146
NorahHead,-33.2816667,151.5677778,3.387299419597133
Nuriootpa,-34.4693354,138.9939006,1.390342990342991
PearceRAAF,-31.6739604,116.0175435,1.6690803765387399
Penrith,-33.7511954,150.6941711,2.1753036437246966
Perth,-31.9558933,115.8605855,1.9062950203570324
PerthAirport,-31.9406095,115.9676077,1.7616483881688274
Portland,-38.3456231,141.6042304,2.5303738317757016
Richmond,-33.5992,150.7519,2.138461538461542
Sale,-38.11147308,147.0650024,1.510166666666666
SalmonGums,-32.9815167,121.6440785,1.0343824027072726
Sydney,-33.8698439,151.2082848,3.3245430026970255
SydneyAirport,-33.93666594,151.1761693,3.009916805324463
Townsville,-19.2569391,146.8239537,3.485591823277288
Tuggeranong,-35.4209771,149.0921341,2.1640426951300835
Uluru,-25.344857,131.0325171,0.7843626806833137
WaggaWagga,-35.115,147.3677778,1.7099462365591394
Walpole,-34.9776796,116.7310063,2.9068463994324194
Watsonia,-37.7109468,145.0837808,1.860820273424478
Williamtown,-32.815,151.8427778,3.5911084998041543
Witchcliffe,-34.0263348,115.1004768,2.8956639566395643
Wollongong,-34.4278083,150.893054,3.594902749832327
Woomera,-31.1999142,136.8253532,0.4904045469742558
